"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"d:\Electron\OO\script\canva-home.js", "JavaScript", 108, 0, 31, 28, 167
"d:\Electron\OO\script\canvas-talk.js", "JavaScript", 133, 0, 5, 25, 163
"d:\Electron\OO\script\home.js", "JavaScript", 100, 0, 8, 16, 124
"d:\Electron\OO\script\homeNode.js", "JavaScript", 0, 0, 0, 1, 1
"d:\Electron\OO\script\preload_home.js", "JavaScript", 9, 0, 3, 3, 15
"d:\Electron\OO\script\preload_talk.js", "JavaScript", 9, 0, 3, 2, 14
"d:\Electron\OO\script\sign.js", "JavaScript", 206, 0, 13, 26, 245
"d:\Electron\OO\script\signNode.js", "JavaScript", 0, 0, 0, 1, 1
"d:\Electron\OO\script\talk.js", "JavaScript", 251, 0, 52, 55, 358
"d:\Electron\OO\style\home.css", "CSS", 0, -242, -27, -46, -315
"d:\Electron\OO\style\sign.css", "CSS", 0, -213, -5, -39, -257
"d:\Electron\OO\style\talk.css", "CSS", 0, -245, -11, -38, -294
"Total", "-", 816, -700, 72, 34, 222
